2020-04-15 08:50:20.581 [main] INFO  com.beimi.Application - Starting Application on DESKTOP-H50VI17 with PID 12644 (started by lzx in D:\学习\beimi)
2020-04-15 08:50:20.597 [main] INFO  com.beimi.Application - No active profile set, falling back to default profiles: default
2020-04-15 08:50:20.737 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2020-04-15 08:50:20.753 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1aa7ecca: startup date [Wed Apr 15 08:50:20 CST 2020]; root of context hierarchy
2020-04-15 08:50:22.753 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-15 08:50:22.831 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-15 08:50:23.206 [main] INFO  org.kie.spring.KModuleBeanFactoryPostProcessor - :: BeanFactoryPostProcessor::postProcessBeanFactory called ::
2020-04-15 08:50:23.221 [main] INFO  o.d.compiler.kie.builder.impl.ClasspathKieProject - Recursed up folders, found and used pom.xml D:\学习\beimi\pom.xml
2020-04-15 08:50:23.221 [main] INFO  org.kie.spring.KModuleBeanFactoryPostProcessor - Found project with releaseId: com.beimi:beimi:0.8.0
2020-04-15 08:50:23.377 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$1f613c16] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-15 08:50:23.409 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'gameServerConfiguration' of type [com.beimi.config.web.GameServerConfiguration$$EnhancerBySpringCGLIB$$68fa004f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-15 08:50:23.518 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'socketIOServer' of type [com.corundumstudio.socketio.SocketIOServer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-15 08:50:23.784 [main] INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 80 (http)
2020-04-15 08:50:23.784 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-15 08:50:23.784 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.16
2020-04-15 08:50:24.096 [localhost-startStop-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-15 08:50:24.096 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3343 ms
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'metricsFilter' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.b.w.s.DelegatingFilterProxyRegistrationBean - Mapping filter: 'springSecurityFilterChain' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'webRequestLoggingFilter' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'webStatFilter' to urls: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'tokenInfoTokenFilterSecurityInterceptor' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'apiTokenFilterSecurityInterceptor' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'applicationContextIdFilter' to: [/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'statViewServlet' to [/druid/*]
2020-04-15 08:50:24.518 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
2020-04-15 08:50:24.893 [main] INFO  com.hazelcast.instance.DefaultAddressPicker - [LOCAL] [BeiMi] [3.8] Prefer IPv4 stack is true.
2020-04-15 08:50:25.018 [main] INFO  com.hazelcast.instance.DefaultAddressPicker - [LOCAL] [BeiMi] [3.8] Picked [192.168.3.241]:5701, using socket ServerSocket[addr=/0:0:0:0:0:0:0:0,localport=5701], bind any local is true
2020-04-15 08:50:25.033 [main] INFO  com.hazelcast.system - [192.168.3.241]:5701 [BeiMi] [3.8] Hazelcast 3.8 (20170217 - d7998b4) starting at [192.168.3.241]:5701
2020-04-15 08:50:25.033 [main] INFO  com.hazelcast.system - [192.168.3.241]:5701 [BeiMi] [3.8] Copyright (c) 2008-2017, Hazelcast, Inc. All Rights Reserved.
2020-04-15 08:50:25.033 [main] INFO  com.hazelcast.system - [192.168.3.241]:5701 [BeiMi] [3.8] Configured Hazelcast Serialization version : 1
2020-04-15 08:50:25.252 [main] INFO  c.h.s.i.o.impl.BackpressureRegulator - [192.168.3.241]:5701 [BeiMi] [3.8] Backpressure is disabled
2020-04-15 08:50:25.908 [main] INFO  com.hazelcast.instance.Node - [192.168.3.241]:5701 [BeiMi] [3.8] Creating MulticastJoiner
2020-04-15 08:50:26.017 [main] INFO  c.h.s.i.o.impl.OperationExecutorImpl - [192.168.3.241]:5701 [BeiMi] [3.8] Starting 8 partition threads
2020-04-15 08:50:26.017 [main] INFO  c.h.s.i.o.impl.OperationExecutorImpl - [192.168.3.241]:5701 [BeiMi] [3.8] Starting 5 generic threads (1 dedicated for priority tasks)
2020-04-15 08:50:26.033 [main] INFO  com.hazelcast.core.LifecycleService - [192.168.3.241]:5701 [BeiMi] [3.8] [192.168.3.241]:5701 is STARTING
2020-04-15 08:50:28.244 [main] INFO  com.hazelcast.system - [192.168.3.241]:5701 [BeiMi] [3.8] Cluster version set to 3.8
